player_display_name,position,team,opponent_team,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds
Josh Jacobs,RB,GB,CLE,0,0,16,30,0,9,5,44,0
Drew Lock,QB,SEA,NO,15,0,1,-1,0,0,0,0,0
Daniel Jones,QB,IND,TEN,228,1,4,27,0,0,0,0,0
Deebo Samuel Sr.,WR,WAS,LV,0,0,3,18,0,3,2,11,0
Jakob Johnson,RB,HOU,JAX,0,0,0,0,0,0,0,0,0
Juwan Johnson,TE,NO,SEA,0,0,0,0,0,8,6,51,0
Rico Dowdle,RB,CAR,ATL,0,0,10,30,1,1,1,8,0
J.K. Dobbins,RB,DEN,LAC,0,0,11,83,1,2,1,0,0
Nick Westbrook-Ikhine,WR,MIA,BUF,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,QB,MIA,BUF,146,2,2,10,0,0,0,0,0
Jonathan Taylor,RB,IND,TEN,0,0,17,102,3,4,3,16,0
Michael Pittman,WR,IND,TEN,0,0,0,0,0,6,6,73,1
Jordan Love,QB,GB,CLE,183,1,4,18,0,0,0,0,0
D'Andre Swift,RB,CHI,DAL,0,0,13,33,0,4,3,45,0
Cole Kmet,TE,CHI,DAL,0,0,0,0,0,1,1,10,1
Darnell Mooney,WR,ATL,CAR,0,0,0,0,0,11,4,44,0
Justin Jefferson,WR,MIN,CIN,0,0,0,0,0,7,5,75,0
Antonio Gibson,RB,NE,PIT,0,0,7,28,0,0,0,0,0
Devin Duvernay,WR,CHI,DAL,0,0,0,0,0,0,0,0,0
Justin Herbert,QB,LAC,DEN,300,1,2,6,0,0,0,0,0
Jalen Hurts,QB,PHI,LA,226,3,9,40,1,0,0,0,0
Jerry Jeudy,WR,CLE,GB,0,0,0,0,0,5,1,17,0
Tee Higgins,WR,CIN,MIN,0,0,0,0,0,2,1,15,0
Cam Akers,RB,MIN,CIN,0,0,5,19,0,1,0,0,0
Van Jefferson,WR,TEN,IND,0,0,0,0,0,1,1,8,0
Adam Trautman,TE,DEN,LAC,0,0,0,0,0,0,0,0,0
Tyler Johnson,WR,NYJ,TB,0,0,0,0,0,3,2,32,0
Charlie Woerner,TE,ATL,CAR,0,0,0,0,0,1,1,-5,0
Rashod Bateman,WR,BAL,DET,0,0,0,0,0,7,5,63,1
Nico Collins,WR,HOU,JAX,0,0,0,0,0,11,8,104,1
Chuba Hubbard,RB,CAR,ATL,0,0,17,73,0,3,2,3,0
Jaylen Waddle,WR,MIA,BUF,0,0,0,0,0,6,5,39,1
Dee Eskridge,WR,MIA,BUF,0,0,0,0,0,0,0,0,0
Dyami Brown,WR,JAX,HOU,0,0,0,0,0,3,2,7,0
Tylan Wallace,WR,BAL,DET,0,0,0,0,0,1,0,0,0
Noah Gray,TE,KC,NYG,0,0,0,0,0,6,3,17,0
Simi Fehoko,WR,ARI,SF,0,0,0,0,0,0,0,0,0
Jack Stoll,TE,NO,SEA,0,0,0,0,0,3,2,21,1
Tutu Atwell,WR,LA,PHI,0,0,0,0,0,1,0,0,0
Ben Skowronek,WR,PIT,NE,0,0,0,0,0,0,0,0,0
Rhamondre Stevenson,RB,NE,PIT,0,0,4,18,0,3,3,38,0
Kylen Granson,TE,PHI,LA,0,0,0,0,0,0,0,0,0
Najee Harris,RB,LAC,DEN,0,0,6,28,0,0,0,0,0
Pat Freiermuth,TE,PIT,NE,0,0,0,0,0,3,1,6,0
Ja'Marr Chase,WR,CIN,MIN,0,0,1,9,0,6,5,50,0
DeVonta Smith,WR,PHI,LA,0,0,0,0,0,9,8,60,1
Kenneth Gainwell,RB,PIT,NE,0,0,4,16,1,1,1,10,0
Amon-Ra St. Brown,WR,DET,BAL,0,0,0,0,0,8,7,77,1
Kyle Pitts,TE,ATL,CAR,0,0,0,0,0,6,4,39,0
Trevor Lawrence,QB,JAX,HOU,222,0,2,9,0,0,0,0,0
Mac Jones,QB,SF,ARI,284,1,1,-1,0,0,0,0,0
Travis Etienne,RB,JAX,HOU,0,0,16,56,1,2,0,0,0
Elijah Moore,WR,BUF,MIA,0,0,1,11,0,3,2,30,0
Josh Palmer,WR,BUF,MIA,0,0,0,0,0,1,1,5,0
Javonte Williams,RB,DAL,CHI,0,0,10,76,0,5,5,16,0
Hunter Long,TE,JAX,HOU,0,0,0,0,0,3,2,12,0
Tommy Tremble,TE,CAR,ATL,0,0,0,0,0,2,2,16,0
Tyler Badie,RB,DEN,LAC,0,0,0,0,0,0,0,0,0
Grant Calcaterra,TE,PHI,LA,0,0,0,0,0,0,0,0,0
Dareke Young,WR,SEA,NO,0,0,0,0,0,1,1,12,0
Jake Tonges,TE,SF,ARI,0,0,0,0,0,3,2,21,0
Tyler Goodson,RB,IND,TEN,0,0,2,6,0,0,0,0,0
Isiah Pacheco,RB,KC,NYG,0,0,10,45,0,1,1,3,0
Jaylen Warren,RB,PIT,NE,0,0,18,47,0,6,5,34,0
Kevin Austin Jr.,WR,NO,SEA,0,0,0,0,0,1,0,0,0
Drake London,WR,ATL,CAR,0,0,0,0,0,8,5,55,0
Chris Olave,WR,NO,SEA,0,0,0,0,0,14,10,57,0
Jameson Williams,WR,DET,BAL,0,0,0,0,0,3,2,43,0
George Pickens,WR,DAL,CHI,0,0,0,0,0,9,5,68,1
James Cook,RB,BUF,MIA,0,0,19,108,1,3,3,10,0
Rachaad White,RB,TB,NYJ,0,0,5,12,0,1,1,2,0
Khalil Shakir,WR,BUF,MIA,0,0,0,0,0,4,4,45,1
Tyler Allgeier,RB,ATL,CAR,0,0,1,4,0,2,1,0,0
Jerome Ford,RB,CLE,GB,0,0,0,0,0,4,4,10,0
Jalen Nailor,WR,MIN,CIN,0,0,0,0,0,5,3,37,0
John FitzPatrick,TE,GB,CLE,0,0,0,0,0,2,2,12,1
Ko Kieft,TE,TB,NYJ,0,0,0,0,0,0,0,0,0
Tanner Conner,TE,MIA,BUF,0,0,0,0,0,2,1,13,0
Kaden Davis,WR,CLE,GB,0,0,0,0,0,0,0,0,0
Jordan Mason,RB,MIN,CIN,0,0,16,116,2,0,0,0,0
Lucas Krull,TE,DEN,LAC,0,0,0,0,0,2,1,9,0
Rashid Shaheed,WR,NO,SEA,0,0,0,0,0,6,4,42,0
